part,motion,mass_screen_kg,com_x_mm,com_y_mm,com_z_mm,material,basis,release
BasePlate300x300x6,stationary,1.4498890549365182,-0.022553295344597827,-0.022553295344606303,2.9999999999999996,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
Column50x50x2,stationary,0.4038391770337821,7.965752069422794e-16,-3.282725804075538e-15,202.18847783309394,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ColumnFootAngle_0,stationary,0.023711649760858496,29.125400354364356,-1.0111288255742693e-16,37.27148716674105,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ColumnFootAngle_1,stationary,0.023711649760858503,5.952024246800796e-15,29.125400354364352,36.99100048697781,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ColumnFootAngle_2,stationary,0.023711649760858496,-29.125400354364356,1.0111288255742693e-16,37.27148716674105,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ColumnFootAngle_3,stationary,0.023711649760858496,5.676229389696787e-15,-29.12540035436437,36.99100048697783,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ColumnDiagonalBrace_0,stationary,0.05523810880672759,-59.99999999999999,29.499999999999996,137.0,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
BraceFootAngle_0,stationary,0.01199239185913571,-119.99999999999999,27.132841408445504,17.130200415481312,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ColumnDiagonalBrace_1,stationary,0.055238108806727575,59.99999999999999,32.50000000000001,136.99999999999997,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
BraceFootAngle_1,stationary,0.01199239185913571,119.99999999999999,30.1328414084455,17.130200415481312,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ColumnDiagonalBrace_2,stationary,0.07567093882140649,29.499999999999993,-60.00000000000001,192.0,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
BraceFootAngle_2,stationary,0.011992391859135709,27.1328414084455,-120.00000000000004,17.13020041548132,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
