item,qty,component,spec,unit_price_usd,ext_price_usd,stage,price_status,source_or_basis,purpose
1,2,SUNLU PETG 1.75 mm filament — 1 kg spool,Two retail spools including trial prints; no bulk-order discount assumed,20,40,printing,estimate_unquoted,https://store.sunlu.com/collections/petg,Compact V1; quantity/fit to be checked against final CAD
2,3,STEPPERONLINE 17HS19-2004S1 NEMA17 motor,42x42x48 mm; 5 mm D-shaft; 2 A rated phase current; V1 uses derated current,9.62,28.86,motion,observed_2026-09-08,https://www.omc-stepperonline.com/nema-17-bipolar-59ncm-84oz-in-2a-42x48mm-4-wires-w-1m-cable-connector-17hs19-2004s1,Yaw pitch extension; 0.59 Nm holding rating is NOT operating torque
3,3,BIGTREETECH TMC2209 V1.3 — SKU 1040000053,1PC option each; STEP/DIR plus UART; 12 V bus; start <=1 A RMS only after sizing,7.89,23.67,motion,observed_2026-09-08,https://biqu.equipment/products/btt-tmc2209-stepper-driver,Carrier thermal/current settings and firmware integration pending
4,1,TowerPro MG90S positional micro servo,180-degree positional version with supplied horn; NOT continuous rotation,4.99,4.99,motion,observed_2026-09-08,https://dfh.fm/products/mg90s-servo,Candidate claw servo; unknown owned servo not credited; force/travel test required
5,2,400-2GT-6 closed-loop timing belt,400 mm pitch length; 2 mm pitch; 6 mm wide; 200 teeth,3,6,mechanical,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Tentative yaw and first pitch stage lengths; do not order until center distances are fixed
6,1,600-2GT-6 closed-loop timing belt,600 mm pitch length; 2 mm pitch; 6 mm wide; 300 teeth,4,4,mechanical,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Tentative second pitch stage; CAD center distance pending
7,1,2GT-6 open timing belt — 2 metre roll,2 mm pitch; 6 mm wide; fiberglass reinforced rubber; NOT steel cord,6,6,mechanical,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Telescope; printed toothed clamps and printed pulleys
8,1,608-2RS bearings 8x22x7 mm — 10 pack,Standard steel radial ball bearings; use measured fits; no premium ABEC claim needed,12,12,mechanical,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
9,1,625-2RS bearings 5x16x5 mm — 10 pack,Steel radial ball bearings; idler and small shaft supports; spare inventory included,8,8,mechanical,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
10,2,8 mm h6 ground steel shaft — 300 mm length,Cut for pitch yaw and compound shafts; printed collars with steel retention hardware,5,10,mechanical,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
11,1,5 mm ground steel shaft — 200 mm length,Cut idler shafts and smooth pins; bearings run on smooth shaft,4,4,mechanical,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
12,1,M3 socket-head screw nut washer assortment,Metric steel M3x8/12/16/20/25/30; M3 nuts and washers; 200-piece class pack,9,9,mechanical,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
13,1,M4 socket-head screw nut washer assortment,Metric steel M4x10/16/20/25/30/40; nuts and washers; 150-piece class pack,10,10,mechanical,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
14,1,M5x60 bolt M5 locknut and M5 washers — 10 sets,Prototype friction adjustment and attachment; shaft load path stays metal,4,4,mechanical,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
15,1,0.13 mm PTFE adhesive tape — 10 mm x 5 m,Replaceable low-friction facing on printed guide shoes; inspect peel and adhesive creep,5,5,mechanical,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
16,1,Cork-rubber gasket sheet — 1 mm x 150 x 150 mm,Cut friction pads; mechanical retention; friction coefficient requires test,4,4,mechanical,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
17,1,Steel compression/extension spring assortment — 200-piece pack,Trial preload and claw springs; exact spring rate is NOT selected,7,7,mechanical,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing","Assortment for experimentation, not final spring specification"
18,1,Braided UHMWPE fishing line — 0.5 mm x 10 m,Claw tendon and sensor line; knot and abrasion test needed,4,4,mechanical,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
19,2,50 mm steel C-clamp,Clamp printed base to rigid bench; verify throat fits actual bench,3,6,mechanical,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
20,1,3 mm braided polyester cord — 5 m,Independent short retention tether; not a substitute for a qualified pitch restraint,3,3,mechanical,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
21,1,Closed-cell EVA foam sheet — 5 mm x 200 x 300 mm,Claw contact pads and padded catch cradle; not a proven impact absorber,4,4,mechanical,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
22,1,MEAN WELL GST60A12-P1J power adapter,12 V 5 A 60 W; 5.5x2.1 mm center-positive plug; external enclosed supply,19.4,19.4,power,observed_2026-09-08,https://www.bravoelectro.com/gst60a12-p1j.html,12 V compact V1 only; simultaneous load/regen tests pending; tariffs may apply
23,1,NEMA 5-15P to IEC C13 grounded power cord — 1.8 m,Listed cord for adapter; computers owned does not imply spare cord owned,5,5,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
24,1,5.5x2.1 mm DC barrel female pigtail — 18 AWG,Require documented >=5 A rating; avoid tiny unmarked screw-terminal adapter,3,3,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
25,1,Adafruit 1385 UBEC 5 V 3 A buck converter,Servo rail from switched 12 V bus; verify peak current and actual pin polarity,9.95,9.95,power,estimate_unquoted,https://www.adafruit.com/product/1385,"ESP32 uses existing host USB; common ground, no backfeeding USB 5 V"
26,1,Owned ESP32 development board,Exact board/model pending; existing USB-powered host connection,0,0,control,user_owned,User reported owned,Board-specific firmware port and pin verification required
27,3,Adafruit 6357 AS5600 magnetic angle sensor,STEMMA QT breakout; solder headers; supply 3.3 V for ESP32 interface,5.95,17.85,control,observed_2026-09-08,https://www.adafruit.com/product/6357,Yaw/pitch output sensing; extension sensing mechanism still to be finalized
28,1,Adafruit 2717 TCA9548A I2C multiplexer,Separate channels for three fixed-address AS5600 sensors,6.95,6.95,control,observed_2026-09-08,https://www.adafruit.com/product/2717,Use short soldered wiring rather than extra QT cable purchases
29,1,6x2.5 mm diametrically magnetized NdFeB disc — 5 pack,DIAMETRIC magnetization; axial magnetization is not interchangeable,4,4,control,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
30,4,Adafruit 819 roller-lever microswitch,COM/NC wiring; pitch yaw home plus telescope home/end; software bounds elsewhere,1.95,7.8,control,observed_2026-09-08,https://www.adafruit.com/product/819,Logic switching only; not motor-bus current
31,1,XB2-BS542 22 mm latching mushroom switch — 1NC,"Twist-release red button with NC contact block; prototype part, not safety-system certification",8,8,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Interrupt low-current relay-coil path independently of MCU; printed enclosure
32,2,Omron G5LE-14 DC12 PCB relay,12 V coil SPDT; two relays budgeted for manual-reset/interlock development,2.5,5,power,estimate_unquoted,https://omronfs.omron.com/en_US/ecb/products/pdf/en-g5le.pdf,Exact DC load/inrush coordination and circuit proof required
33,1,6x6 mm through-hole tactile switch — 10 pack,Momentary manual reset buttons,1.5,1.5,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
34,1,2N7000 TO-92 MOSFET — 10 pack,Relay-coil and logic gating experiments; never drive motor phase current,2,2,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
35,1,1N4007 rectifier diode — 20 pack,Coil suppression; release delay must be checked,1.5,1.5,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
36,1,74HC123N retriggerable monostable DIP-16 — 2 pack,Hardware heartbeat timeout prototype; timing RC parts below,2,2,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
37,1,SN74HC14N Schmitt-trigger inverter DIP-14 — 2 pack,Condition switch/heartbeat signals at 3.3 V,2,2,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
38,1,LM393P dual comparator DIP-8 — 5 pack,Candidate overvoltage dump controller; circuit not released,2,2,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
39,1,TL431CLP adjustable shunt reference TO-92 — 5 pack,Candidate bus threshold reference,1.5,1.5,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
40,1,IRLZ44NPBF logic MOSFET TO-220 — 2 pack,Candidate dump switch; gate drive/thermal qualification required,3,3,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
41,1,47 ohm 25 W aluminum-housed wirewound resistor,"Pulse-energy-rated part required; mount on small metal heat spreader, not plastic",4,4,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Candidate bus dump load; threshold/duty and pulse rating remain a design gate
42,1,50x50x2 mm aluminum plate,Heat spreader for dump resistor; small purchased thermal part,2,2,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
43,1,470 uF 35 V 105C low-ESR radial capacitor — 5 pack,Local motor-bus decoupling; minimum ripple rating to verify,3,3,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
44,1,1000 uF 10 V 105C radial capacitor — 5 pack,Servo-rail local bulk capacitance,2,2,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
45,1,100 nF 50 V X7R ceramic capacitor — 50 pack,Local IC bypass,1.5,1.5,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
46,1,1 uF film capacitor — 10 pack,Heartbeat timing experiments; tolerance needed for timeout,2,2,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
47,1,1% metal-film resistor assortment 1/4 W — E12 kit,Includes 1k 4.7k 10k 47k 100k; threshold/timing values may require additional E96 values,4,4,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
48,1,5x7 cm FR4 plated perfboard — 5 pack,Soldered driver carrier and interface circuit; no motor current through solderless breadboard,4,4,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
49,1,2.54 mm female header 1x40 — 10 pack,Driver sockets; split to fit; verify contact current rating,3,3,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
50,1,KF301-2P 5.08 mm screw terminal — 10 pack,PCB terminals; select rated supplier part for bus current,3,3,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
51,1,Inline mini-blade fuse holder 18 AWG — 3 pack,Branch/bus fusing; actual fuse selection depends on load and interrupt rating,4,4,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
52,1,32 V mini-blade fuse assortment 1/2/3/5 A — 20 pack,Candidate fuse inventory; do not install maximum rating by default,3,3,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
53,1,18 AWG stranded copper wire red/black — 5 m pair,"Short motor/power branches; copper, not CCA",6,6,power,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
54,1,24 AWG stranded hookup wire — six colours 2 m each,Switches encoders logic wiring,5,5,control,estimate_unquoted,"Search the exact component name; pack price estimate, not a checked listing",Compact V1; quantity/fit to be checked against final CAD
